Type of Neighborhood,Total Accidents - 2017,Total Accidents - 2018,Total Accidents - % Age change,Persons Killed - 2017,Persons Killed - 2018,Persons Killed - % Age change,Persons Injured - 2017,Persons Injured - 2018,Persons Injured - % Age change
Residential Area,89212,78678,-11.8,25815,24913,-3.5,88517,76873,-13.2
Share in Total,19.2,16.8,NA,17.5,16.5,NA,18.8,16.4,NA
Institutional Area,29670,29341,-1.1,9403,9144,-2.8,29105,28474,-2.2
Share in Total,6.4,6.3,NA,6.4,6,NA,6.2,6.1,NA
Market/Commercial Area,58166,64184,10.3,17059,18460,8.2,55376,60621,9.5
Share in Total,12.5,13.7,NA,11.5,12.2,NA,11.8,12.9,NA
Open Area,234769,220967,-5.9,78323,79696,1.8,245923,228690,-7
Share in Total,50.5,47.3,NA,53,52.6,NA,52.2,48.7,NA
Others*,53093,73874,39.1,17313,19204,10.9,52054,74760,43.6
Share in Total,11.4,15.8,NA,11.7,12.7,NA,11.1,15.9,NA
Total,464910,467044,0.5,147913,151417,2.4,470975,469418,-0.3
